hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
14,118.28571428571429,190,30,2672.3469387755104,0.8274,0.253742147071494,226138.0
16,110.3125,195,25,3302.96484375,0.8491,0.4823698987563451,288103.0
7,88.42857142857143,192,23,2850.244897959184,0.9042,0.3425917023999823,72250.0
5,84.0,140,11,1760.8,0.934,0.06991010766942055,84694.0
12,118.91666666666667,175,56,1598.576388888889,0.8717,0.36541162042154207,295497.0
19,124.84210526315789,178,34,2102.448753462604,0.8834,0.5516267733441459,336518.0
16,111.0,174,24,2640.875,0.8878,0.34635392812391125,256306.0
16,128.125,200,17,4225.984375,0.9064,0.45378680229187013,323357.0
11,107.0,184,13,2280.7272727272725,0.8173,0.3650329619232151,166903.0
8,117.375,185,47,2513.234375,0.8961,0.2007266527481584,211597.0
18,94.88888888888889,185,14,3053.9876543209875,0.829,0.13261459142668172,284094.0
4,115.0,184,44,2931.5,0.9409,0.10589959066257709,72197.0
20,111.9,193,12,2255.49,0.8865,0.4606631105972661,360120.0
15,136.26666666666668,199,25,2076.8622222222225,0.8552,0.37397199554575816,354492.0
11,110.0909090909091,195,50,2192.628099173554,0.8649,0.20884330215243002,225753.0
6,100.0,176,19,3603.0,0.9445,0.20891256204081907,140648.0
19,118.84210526315789,194,32,2616.027700831025,0.8966,0.45040108892652725,305856.0
10,131.0,200,34,3503.4,0.8751,0.2943040526575512,195232.0
8,103.25,193,19,3585.4375,0.9427,0.2575863202826844,229261.0
9,103.66666666666667,186,24,2917.111111111111,0.8364,0.48672659678591623,208809.0
9,108.0,171,29,2923.5555555555557,0.8375,0.573995527293947,115405.0
8,103.375,162,50,1965.234375,0.9423,0.23546353252604604,191029.0
11,98.63636363636364,193,20,2285.1404958677685,0.8958,0.20823703580277247,158422.0
12,88.83333333333333,170,19,3049.138888888889,0.8422,0.6848162551720937,119834.0
15,92.8,195,17,3201.76,0.8294,0.2882812214808332,241161.0
4,76.0,196,29,4873.5,0.9396,0.05291733779271857,162538.0
16,109.6875,190,22,2966.71484375,0.8816,0.5453580389420192,305051.0
18,111.83333333333333,196,22,2614.3611111111113,0.8527,0.1881571150669414,296725.0
7,94.57142857142857,161,39,1397.9591836734692,0.9251,0.1740688383165333,131834.0
12,106.0,193,21,2384.1666666666665,0.8438,0.4776247166097164,208148.0
14,107.78571428571429,198,10,4056.59693877551,0.8541,0.3113457328639925,269109.0
14,93.21428571428571,196,13,2793.4540816326526,0.7938,0.7840464810530344,129342.0
11,109.36363636363636,193,38,2886.9586776859505,0.8241,0.438623132970598,208284.0
5,92.6,144,13,1973.8399999999997,0.9348,0.17516082860529422,106284.0
17,102.3529411764706,181,12,2769.993079584775,0.848,0.41262040014068285,214516.0
20,123.7,199,16,2716.41,0.8821,0.6742041329542796,355924.0
14,94.85714285714286,179,24,1563.9795918367347,0.8605,0.3121859302226868,220697.0
4,124.25,177,29,3325.6875,0.9478,0.11703220715539323,140304.0
7,100.71428571428571,136,35,1552.4897959183675,0.8828,0.3934845745563507,158031.0
