hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
5,63.0,128,16,1530.8,0.3598,0.5785417573319541,131671.0
10,82.3,124,23,1018.01,0.217,0.6136806019478374,188524.0
12,58.333333333333336,113,18,971.7222222222222,0.2274,0.6324075778325399,365045.0
3,81.66666666666667,125,30,1538.888888888889,0.4042,0.4728548096285926,108060.0
8,74.25,111,31,813.1875,0.3097,0.5106917306780815,136065.0
7,66.57142857142857,123,16,1599.1020408163263,0.3089,0.6112532509697808,155050.0
10,80.6,125,22,1346.44,0.2968,0.5550777888960309,382975.0
7,95.57142857142857,123,47,705.1020408163265,0.3475,0.5237068760726187,430599.0
15,61.06666666666667,118,10,1238.462222222222,0.2744,0.5593253296282557,271436.0
13,76.92307692307692,125,11,1047.1479289940828,0.2458,0.5672930553555489,298915.0
15,79.8,128,17,1276.2933333333335,0.2648,0.6008072132865588,350010.0
14,63.0,120,15,1393.0,0.2322,0.5734880241254966,120169.0
7,101.85714285714286,124,53,700.6938775510205,0.3517,0.5457564254601797,429262.0
15,73.46666666666667,125,12,1326.5155555555552,0.2434,0.5796384476953083,129672.0
14,57.642857142857146,113,11,995.8010204081631,0.2336,0.60872599730889,291390.0
15,69.13333333333334,126,21,1167.048888888889,0.2414,0.5894157720936669,325237.0
12,78.66666666666667,126,25,1338.5555555555557,0.2589,0.6113692167732451,455028.0
5,90.2,126,19,1562.9599999999998,0.3721,0.5574142353402244,261488.0
12,73.41666666666667,126,18,1172.409722222222,0.252,0.6083075450526343,251965.0
3,41.0,61,21,266.6666666666667,0.3707,0.5166487173901664,68704.0
4,59.0,88,13,785.5,0.3916,0.439454596903589,202555.0
3,71.0,86,43,392.6666666666667,0.4023,0.44619686239295536,143858.0
9,62.77777777777778,113,20,1262.3950617283951,0.2578,0.5641473662522104,99971.0
4,78.0,89,62,125.5,0.396,0.5235816339651743,209783.0
14,52.42857142857143,108,14,741.530612244898,0.2286,0.5834738661845525,186705.0
3,99.0,121,76,338.0,0.4208,0.5211183196968503,254382.0
15,51.266666666666666,116,24,739.6622222222223,0.2245,0.5823167918456925,391103.0
6,63.333333333333336,109,25,1129.888888888889,0.3449,0.5729650518960423,235563.0
14,69.71428571428571,120,14,941.9183673469388,0.2243,0.5907743596368366,361416.0
13,64.6923076923077,128,12,1265.5976331360946,0.227,0.6202479574415419,427218.0
10,54.5,112,18,1057.25,0.2848,0.57017695804437,104000.0
13,82.46153846153847,123,23,845.0177514792899,0.2282,0.598546877834532,316306.0
13,74.92307692307692,117,14,1031.3017751479288,0.2378,0.5842307607332865,421048.0
3,84.66666666666667,120,60,656.8888888888888,0.4194,0.5400344494316313,382560.0
14,69.35714285714286,119,18,1116.3724489795918,0.2416,0.6184712578852971,190222.0
15,72.46666666666667,124,13,1192.7822222222223,0.2621,0.6222901033030616,296388.0
13,66.38461538461539,121,11,1181.621301775148,0.2248,0.6193826261493894,370542.0
7,80.85714285714286,128,14,1323.8367346938776,0.3254,0.5468152556154463,85601.0
4,69.75,104,25,1172.1875,0.3861,0.503171970612473,336442.0
13,72.84615384615384,126,14,1141.3609467455624,0.283,0.6137770228915744,212150.0
7,66.57142857142857,101,52,271.10204081632656,0.3204,0.5810805552535587,210214.0
15,74.33333333333333,121,33,1074.7555555555555,0.2742,0.5271349233057764,424886.0
3,94.33333333333333,115,66,429.5555555555555,0.4263,0.41739024735159347,372402.0
5,77.4,99,40,457.84000000000003,0.3745,0.5301862378915151,150716.0
14,58.714285714285715,110,22,933.0612244897958,0.2187,0.5910329865084754,348193.0
7,78.85714285714286,112,18,1489.5510204081634,0.2995,0.5840615991089079,97092.0
4,71.75,116,24,1622.1875,0.3854,0.49008042067289354,92540.0
9,63.77777777777778,125,18,1667.506172839506,0.2903,0.5502469708522161,86715.0
10,72.8,110,24,848.1600000000001,0.2513,0.6212987065315246,274656.0
5,84.6,115,44,756.6400000000001,0.4009,0.42293468481964536,336282.0
14,67.28571428571429,108,15,769.3469387755102,0.2531,0.6021843986378775,234438.0
7,50.285714285714285,122,12,1439.0612244897961,0.2297,0.5990249001317554,385126.0
13,65.07692307692308,110,10,930.224852071006,0.2435,0.6314312375254101,262676.0
7,60.142857142857146,94,35,298.1224489795918,0.2556,0.5708631287018459,203753.0
11,71.36363636363636,123,24,1365.3223140495868,0.2786,0.5479805711242888,423659.0
12,60.583333333333336,124,10,1208.576388888889,0.2314,0.6302017264895969,85314.0
7,81.28571428571429,126,29,1300.4897959183672,0.3243,0.4974290339483155,187284.0
6,59.5,127,14,1366.9166666666667,0.3348,0.5223524789015452,258666.0
15,60.6,113,16,1133.84,0.2295,0.6249053807722198,336158.0
15,74.53333333333333,122,24,884.7822222222222,0.2508,0.6314674917194578,156229.0
11,51.18181818181818,110,11,1053.9669421487602,0.2158,0.6171947371628549,341492.0
10,54.2,114,11,917.76,0.2308,0.5978125459618039,60890.0
13,47.15384615384615,95,12,983.2071005917161,0.2,0.6473367899656296,248220.0
11,63.09090909090909,120,17,771.900826446281,0.2646,0.5832996221052276,328840.0
13,68.15384615384616,122,12,1284.284023668639,0.2315,0.6106064137485292,209005.0
13,65.76923076923077,122,11,1346.3313609467457,0.2298,0.6254271194338799,147387.0
9,57.77777777777778,116,14,1104.6172839506173,0.233,0.5832955104609331,159459.0
15,57.53333333333333,122,11,1160.9155555555556,0.23,0.614611865580082,410291.0
13,58.30769230769231,126,14,851.7514792899408,0.3952,0.43059066318803363,141501.0
10,73.5,127,22,1441.45,0.462,0.3807764883670542,432584.0
6,80.5,121,18,1872.25,0.4384,0.4462592335210906,99585.0
11,90.18181818181819,122,58,529.0578512396694,0.4555,0.41548725250694485,454554.0
13,76.92307692307692,106,37,431.14792899408286,0.4258,0.4415384157664246,255397.0
10,81.9,126,43,751.6899999999999,0.4643,0.39227762934234406,446324.0
9,73.33333333333333,116,47,566.4444444444445,0.4675,0.4156140918533007,213612.0
9,79.0,125,25,949.3333333333334,0.4809,0.3685342013835907,210862.0
10,64.1,124,14,1306.29,0.404,0.4561167773273256,75964.0
13,68.76923076923077,128,18,1835.5621301775147,0.3899,0.4299555520216624,130173.0
3,62.333333333333336,90,37,470.8888888888889,0.4913,0.37476583263940283,193420.0
5,73.4,117,15,1934.64,0.3814,0.5408909128771888,74975.0
5,62.4,127,29,1247.8399999999997,0.493,0.40467474195692277,169658.0
4,49.25,72,28,287.6875,0.4507,0.3975327640771866,93430.0
3,55.333333333333336,84,34,443.5555555555555,0.4619,0.38189228541321224,152784.0
5,76.2,126,46,758.96,0.4925,0.4374193827311198,225422.0
4,43.25,76,13,515.6875,0.4673,0.46149420191844304,237172.0
12,56.083333333333336,101,17,922.0763888888888,0.4441,0.4098548937175009,336429.0
10,49.8,124,19,1518.76,0.4341,0.32775061279535295,396755.0
10,64.0,104,11,962.8,0.4211,0.45753600597381594,107449.0
6,62.5,123,11,1850.9166666666667,0.446,0.4637602893842591,136655.0
12,57.833333333333336,126,12,1303.9722222222224,0.4178,0.4486145713263088,81826.0
8,62.125,122,15,1040.859375,0.4427,0.42298913614617456,128066.0
7,40.142857142857146,98,12,1166.1224489795918,0.3914,0.4513594061136246,69242.0
4,47.0,96,16,993.5,0.4132,0.45621626807583704,78659.0
15,54.46666666666667,127,10,1387.8488888888894,0.3149,0.5439723031388388,122465.0
5,68.6,125,32,1089.84,0.4852,0.47592980513970057,400607.0
9,71.22222222222223,127,39,687.5061728395062,0.4671,0.42159075323078365,301452.0
5,76.6,96,33,562.6400000000001,0.5028,0.3822999844948451,311785.0
6,69.5,128,21,1099.5833333333333,0.4657,0.4443142415748702,93107.0
14,71.14285714285714,124,19,1198.1224489795918,0.4071,0.40818563368585375,417360.0
7,62.57142857142857,127,12,1930.5306122448983,0.4834,0.398323439889484,414574.0
8,66.0,126,18,1512.5,0.4494,0.39119610140721,104881.0
12,75.08333333333333,117,33,751.7430555555557,0.4335,0.4286571317248874,172758.0
7,65.57142857142857,98,11,831.6734693877552,0.4584,0.42246129910151164,249984.0
11,73.72727272727273,127,19,1317.834710743802,0.4556,0.4140621496571435,280383.0
8,70.375,101,46,396.484375,0.4608,0.3963768632047706,281026.0
12,87.33333333333333,126,24,1387.888888888889,0.4175,0.48361895730098087,433315.0
12,75.33333333333333,127,23,1197.0555555555554,0.4535,0.43048380066951114,447017.0
10,53.8,128,12,1352.96,0.4338,0.38633890201648075,136977.0
12,76.66666666666667,121,18,1056.222222222222,0.4343,0.4275048332909743,345972.0
10,57.7,121,12,1599.41,0.4464,0.4351580439342393,187098.0
11,57.09090909090909,127,12,1814.9917355371902,0.4585,0.41545909576945833,230962.0
5,80.8,123,41,1110.56,0.4976,0.35422687058647473,356344.0
15,64.33333333333333,126,14,1541.288888888889,0.2969,0.5671504598524836,108267.0
8,71.0,122,16,1508.0,0.414,0.45833686772320004,92857.0
6,72.16666666666667,106,51,330.47222222222223,0.4971,0.35951035983032653,242752.0
15,65.0,124,14,1253.2,0.4078,0.4712867241766718,333178.0
11,70.36363636363636,127,14,1011.504132231405,0.2029,0.6306000267465909,96962.0
4,28.75,71,12,602.1875,0.449,0.44389173454708525,219984.0
8,67.625,101,30,591.234375,0.4391,0.4174951144390636,133870.0
4,80.25,121,17,1481.6875,0.4777,0.39864955263005364,386532.0
9,57.666666666666664,127,10,1740.4444444444443,0.453,0.4118244139684571,245380.0
12,67.58333333333333,112,10,846.576388888889,0.4328,0.4224723019533687,275227.0
4,67.0,126,14,2827.0,0.3803,0.4830987763073709,60472.0
3,45.333333333333336,83,21,729.5555555555555,0.4618,0.4127569372455279,68670.0
4,72.5,108,15,1230.25,0.4803,0.3977076473335425,344869.0
3,33.666666666666664,71,15,696.888888888889,0.422,0.528564734922515,48360.0
5,94.6,116,44,741.4399999999998,0.5061,0.3528150522046619,306332.0
13,74.6923076923077,122,18,1533.5976331360948,0.4259,0.38160467545191445,413053.0
13,79.76923076923077,127,18,1115.5621301775147,0.4296,0.39499949200285805,357140.0
12,63.166666666666664,123,10,1238.138888888889,0.4084,0.436614363723331,313433.0
7,72.42857142857143,123,24,1398.8163265306123,0.4916,0.3857494624124633,350242.0
3,73.33333333333333,115,36,1049.5555555555554,0.4843,0.40185749555627504,123357.0
5,75.4,109,27,1263.44,0.4944,0.4333622309896681,356189.0
3,87.66666666666667,112,47,837.5555555555555,0.5041,0.3993820713626014,336870.0
4,83.75,125,24,1368.6875,0.499,0.35645358827379015,400559.0
6,53.0,92,19,794.6666666666666,0.4352,0.41694230569733515,73296.0
4,55.75,103,14,1610.1875,0.4299,0.4601842080553373,66934.0
8,55.125,115,16,1133.109375,0.4492,0.37838224652740693,199408.0
13,76.0,128,26,863.8461538461538,0.4222,0.4054718930688169,270792.0
6,84.0,117,44,622.3333333333334,0.4783,0.4313058861427837,248450.0
3,66.66666666666667,91,53,297.5555555555556,0.4998,0.35639194432232113,287903.0
5,38.2,60,13,435.76000000000005,0.476,0.4411198718680276,189812.0
5,65.0,91,28,515.6,0.4947,0.3362630339960257,247042.0
10,49.4,90,13,641.8399999999999,0.4145,0.4542872976925638,297023.0
3,90.0,118,61,542.0,0.4879,0.42143008013566335,206238.0
13,58.38461538461539,119,12,967.3136094674558,0.4104,0.4204257426990403,220611.0
4,75.75,112,44,773.1875,0.4809,0.3700593148668607,186694.0
4,49.5,82,22,474.25,0.4814,0.3436505663726065,259545.0
9,65.66666666666667,110,12,692.2222222222222,0.4342,0.45645759089125526,235988.0
10,79.8,126,30,967.36,0.4684,0.4057501879003313,378071.0
5,59.0,102,19,929.2,0.4897,0.3337221324443817,229666.0
6,60.833333333333336,105,11,1645.472222222222,0.4888,0.39260638927419983,327579.0
14,77.14285714285714,126,15,1069.408163265306,0.4104,0.41729962610536153,306971.0
14,71.5,121,20,1078.25,0.4089,0.4420438908868366,249696.0
7,71.85714285714286,119,15,1545.8367346938774,0.4892,0.39940412491559985,265020.0
6,68.5,96,46,397.9166666666667,0.487,0.3906807821657923,194982.0
4,66.0,123,23,1427.0,0.4571,0.40389123260974885,82125.0
4,51.0,83,21,723.5,0.491,0.3309089792271455,230282.0
9,64.22222222222223,107,12,734.6172839506173,0.3758,0.48774403267436556,71764.0
12,71.16666666666667,115,42,646.6388888888889,0.4453,0.45934248665968574,193883.0
13,85.84615384615384,127,37,917.5147928994083,0.3921,0.4234175572792689,204167.0
7,76.14285714285714,115,23,1065.265306122449,0.492,0.3204987097945478,388585.0
5,42.2,66,13,407.36,0.441,0.4963979230986701,48744.0
8,91.5,127,33,834.0,0.48,0.3820433113310072,390545.0
3,55.0,68,37,172.66666666666666,0.4714,0.4085617462793986,120860.0
4,77.0,105,49,464.0,0.4893,0.42897726313935386,340021.0
8,69.5,126,27,1035.75,0.4896,0.37070585787296295,228781.0
13,80.84615384615384,117,24,641.8224852071006,0.4248,0.42733679571085503,439207.0
14,73.0,123,28,931.2857142857143,0.4281,0.38298507895734574,244324.0
6,59.0,99,12,915.3333333333334,0.4734,0.4043617359466023,247323.0
9,54.55555555555556,92,20,589.1358024691358,0.4628,0.39456347309880785,304851.0
4,58.5,74,37,201.25,0.4841,0.41293894284301336,179445.0
15,72.4,127,18,1353.9733333333336,0.3769,0.4673880989352862,183541.0
15,68.53333333333333,116,10,1276.3822222222223,0.2741,0.6062328838639789,249267.0
11,70.18181818181819,127,10,1249.4214876033059,0.4376,0.42810051192839943,260872.0
3,106.0,123,89,192.66666666666666,0.5103,0.3849471785955959,298453.0
12,62.833333333333336,95,16,679.4722222222223,0.4126,0.4225429798165957,333313.0
7,88.28571428571429,127,46,905.0612244897959,0.4652,0.4149231000079049,191710.0
12,60.333333333333336,105,13,820.888888888889,0.406,0.46945629003975126,204473.0
13,71.07692307692308,126,26,1129.6094674556214,0.4055,0.43360629479090373,441616.0
12,51.916666666666664,85,12,539.4097222222223,0.4187,0.5101484378178914,240182.0
8,56.625,105,10,1021.984375,0.2472,0.6250534120533201,60045.0
10,71.3,107,14,1031.21,0.4571,0.37546050283643934,279214.0
14,62.0,123,16,1050.7142857142858,0.3727,0.46091437422566944,166471.0
15,63.46666666666667,124,22,931.4488888888889,0.3927,0.4280064195394516,127626.0
5,69.0,114,38,844.0,0.4877,0.36447815265920425,294700.0
12,85.75,127,28,1033.5208333333333,0.4335,0.38812097907066345,369860.0
14,78.71428571428571,126,16,1070.204081632653,0.3374,0.5547636787096659,263898.0
8,69.125,128,18,1476.109375,0.4697,0.39798319571548035,408161.0
10,76.1,128,16,1523.69,0.4561,0.38018228610356647,418746.0
9,72.11111111111111,117,33,915.6543209876543,0.4346,0.46832024190160965,192720.0
8,74.625,128,10,1416.734375,0.3802,0.44681676112943225,72214.0
6,88.66666666666667,111,48,453.5555555555555,0.5049,0.4171453093489011,383178.0
